,artist,title
290,Oliver Tree & Robin Schulz,Miss You
291,Taylor Swift,Sweet Nothing
292,Brent Faiyaz,All Mine
293,Manuel Turizo,La Bachata
294,Rod Wave,Got It Right
295,Joji,Die For You
296,Jimmie Allen,Down Home
297,Luke Combs,"Going, Going, Gone"
298,Drake,Middle Of The Ocean
299,Drake & 21 Savage,More M’s
318,Drake,I Guess It's Fuck Me
326,21 Savage,3AM On Glenwood
375,Taylor Swift,"Would've, Could've, Should've"
379,Harry Styles,Music For A Sushi Restaurant
382,Selena Gomez,My Mind & Me
383,Lil Baby Featuring Fridayy,Forever
384,Taylor Swift,Bigger Than The Whole Sky
386,Taylor Swift,The Great War
389,Taylor Swift,Paris
393,Juice WRLD,In My Head
396,Lizzo,2 Be Loved (Am I Ready)
397,Taylor Swift,High Infidelity
398,Diddy & Bryson Tiller,Gotta Move On
440,Taylor Swift,Glitch
444,Taylor Swift,Dear Reader
462,Lil Baby,Real Spill
464,Shakira + Ozuna,Monotonia
465,Lil Baby,Stand On It
466,Lil Baby & Young Thug,Never Hating
470,Lil Baby,Not Finished
472,Lil Baby & Nardo Wick,Pop Out
474,Lil Yachty,Poland
486,Karol G x Maldy,Gatubela
487,Omar Apollo,Evergreen
490,Lil Baby,Perfect Timing
492,Rosa Linn,Snap
495,Steve Lacy,Dark Red
496,Lil Baby Featuring Future,From Now On
497,Lewis Capaldi,Forget Me
525,Beyonce,I'm That Girl
526,Beyonce Featuring BEAM,Energy
529,Beyonce,Cozy
540,Beyonce,Plastic Off The Sofa
542,Beyonce,Virgo's Groove
546,Beyonce,Summer Renaissance
549,"NAV, Travis Scott & Lil Baby",Never Sleep
550,Beyonce,Heated
552,Beyonce,Thique
554,Beyonce Featuring Grace Jones & Tems,Move
563,Beyonce,Pure/Honey
565,Dylan Scott,New Truck
568,Beyonce,America Has A Problem
569,Beyonce,All Up In Your Mind
575,Corey Kent,Wild As Her
589,The Kid LAROI,Thousand Miles
591,Sam Smith,Love Me More
593,Ed Sheeran Featuring Lil Baby,2step
594,Drake,Massive
597,Jake Owen,Best Thing Since Backroads
599,Bizarrap & Quevedo,"Bzrp Music Sessions, Vol. 52"
638,CKay,Love Nwantiti (Ah Ah Ah)
645,Drake Featuring 21 Savage & Project Pat,Knife Talk
656,Juice WRLD,Sometimes
660,Lil Durk,Computer Murderers
661,Lil Durk Featuring Future,Petty Too
667,Lil Durk,No Interviews
672,Diane Guerrero & Stephanie Beatriz,What Else Can I Do?
674,The Chainsmokers,High
677,Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window
678,Lil Durk,Barbarian
679,Lil Durk,Golden Child
681,Yung Bleu & Kehlani,Beautiful Lies
683,AnnenMayKantereit & Giant Rooks,Tom's Diner
685,Kelsea Ballerini Featuring Kenny Chesney,Half Of My Hometown
687,Rod Wave,By Your Side
690,Machine Gun Kelly & Bring Me The Horizon,Maybe
693,Lil Durk,Smoking & Thinking
694,Yeat,Money So Big
695,Saweetie Featuring H.E.R.,Closer
696,Labrinth & Zendaya,I'm Tired
698,BoyWithUke X blackbear,IDGAF
699,Stephanie Beatriz,Waiting On A Miracle
757,Nicki Minaj & Fivio Foreign,We Go Up
758,Machine Gun Kelly X blackbear,Make Up Sex
779,Tate McRae,Chaotic
783,Machine Gun Kelly & WILLOW,Emo Girl
787,Machine Gun Kelly & Lil Wayne,Ay!
788,J Balvin & Ed Sheeran,Sigue
835,Kane Brown,One Mississippi
836,THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot
840,Wizkid Featuring Justin Bieber & Tems,Essence
842,Dr. Dre Featuring Snoop Dogg,Still D.R.E.
844,Adele,Oh My God
846,Chris Stapleton,You Should Probably Leave
847,The Weeknd,Sacrifice
849,NEIKED X Mae Muller X Polo G,Better Days
863,Ed Sheeran Featuring Taylor Swift,The Joker And The Queen
870,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",Who Want Smoke??
871,Nicki Minaj X Lil Baby,Bussin
872,Future,Worst Day
876,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",All Of You
877,Juice WRLD,Cigarettes
880,Moneybagg Yo,Scorpio
881,Acraze Featuring Cherish,Do It To It
883,Jimmie Allen & Brad Paisley,Freedom Was A Highway
885,King Von & 21 Savage,Don't Play That
888,Mary J. Blige,Good Morning Gorgeous
889,Alesso / Katy Perry,When I'm Gone
890,Yeat,Poppin
892,Chris Brown,Iffy
893,Russell Dickerson,Home Sweet
894,Jessie Murph,Pray
896,Rod Wave,Cold December
898,Taylor Swift,All Too Well (Taylor's Version)
971,Gucci Mane,Publicity Stunt
972,King Von,War
976,Lil Shordie Scott,Rocking A Cardigan In Atlanta
980,YoungBoy Never Broke Again,I Hate YoungBoy
988,DaBaby & YoungBoy Never Broke Again,Neighborhood Superstar
991,King Von Featuring G Herbo,Facetime
992,King Von Featuring Fivio Foreign,Straight To It
995,King Von & Lil Durk,Evil Twins
996,King Von Featuring Moneybagg Yo,Trust Nothing
1021,Kanye West & XXXTENTACION,True Love
1038,Kendrick Lamar,N95
1041,Harry Styles,Matilda
1045,Harry Styles,Daylight
1050,Kendrick Lamar & Kodak Black,Silent Hill
1051,"Kendrick Lamar, Blxst & Amanda Reifer",Die Hard
1052,Lady Gaga,Hold My Hand
1057,Harry Styles,Little Freak
1058,Moneybagg Yo,See Wat I'm Sayin
1059,Sleepy Hallow Featuring 347aidan,Die Young
1060,Harry Styles,Grapejuice
1064,Harry Styles,Satellite
1070,"Calvin Harris, Dua Lipa & Young Thug",Potion
1074,Harry Styles,Cinema
1075,Harry Styles,Keep Driving
1076,Harry Styles,Daydreaming
1077,Bad Bunny,Yo No Soy Celoso
1080,Harry Styles,Love Of My Life
1082,Kendrick Lamar,Rich Spirit
1084,Bad Bunny,Neverita
1087,Harry Styles,Boyfriends
1089,Jack Harlow,Dua Lipa
1092,Future Featuring Drake,I'm On One
1093,Ella Mai,DFMU
1094,Bad Bunny & Buscabulla,Andrea
1095,Future,Love You Better
1096,Keith Urban,Wild Hearts
1098,Tim McGraw,7500 OBO
1112,BTS,Yet To Come
1125,"Pharrell Williams Featuring 21 Savage & Tyler, The Creator",Cash In Cash Out
1166,Shakira & Rauw Alejandro,Te Felicito
1172,BTS,Run BTS
1178,Polo G,Distraction
1196,Luke Combs,Tomorrow Me
1199,Post Malone,Wrapped Around Your Finger
1224,BLACKPINK,Shut Down
1256,BLACKPINK,Pink Venom
1262,YoungBoy Never Broke Again,Put It On Me
1276,Yeat,Talk
1281,Steve Lacy,Static
1283,Lil Baby,Detox
1290,Little Big Town,Hell Yeah
1292,BLEU & Nicki Minaj,Love In The Way
1296,Bailey Zimmerman,Where It Ends
1297,EST Gee Featuring Jack Harlow,Backstage Passes
1299,Lil Tjay,Beat The Odds
1342,"DJ Khaled Featuring Rick Ross, Lil Wayne, JAY-Z, John Legend & Fridayy",God Did
1372,DJ Khaled Featuring Future & SZA,Beautiful
1388,Lee Brice,Soul
1399,Romeo Santos & Justin Timberlake,Sin Fin
1487,Offset,54321
1495,Demi Lovato,29
1497,YoungBoy Never Broke Again,Vette Motors
1587,City Girls & Usher,Good Love
1591,Ghost,Mary On A Cross
1594,Zac Brown Band,Out In The Middle
1595,Moneybagg Yo,Blow
1596,AJR,World's Smallest Violin
1597,Zach Bryan,Oklahoma Smoke Show
1634,Doja Cat Featuring SZA,Kiss Me More
1641,Jason Aldean & Carrie Underwood,If I Didn't Love You
1643,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You
1657,Blxst & Tyga Featuring Ty Dolla $ign,Chosen
1660,Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault)
1663,Michael Ray,Whiskey And Rain
1664,Giveon,For Tonight
1671,Benny The Butcher & J. Cole,Johnny P's Caddy
1675,Gunna & Future,Too Easy
1682,YoungBoy Never Broke Again,No Switch
1683,The Weeknd,Take My Breath
1685,NLE Choppa,Shotta Flow 6
1688,XXXTENTACION,Vice City
1689,Drake Featuring Travis Scott,Fair Trade
1693,Jaymes Young,Infinity
1696,Megan Thee Stallion,Megan's Piano
1697,The Game & Kanye West,Eazy
1698,YoungBoy Never Broke Again,Fish Scale
1699,Carlos Vives,"Colombia, Mi Encanto"
1741,Morgan Wallen,Don't Think Jesus
1756,"Southside, Travis Scott & Future",Hold That Heat
1758,Pusha T Featuring Lil Uzi Vert & Don Toliver,Scrape It Off
1767,Lauren Spencer-Smith,Flowers
1777,Pusha T Featuring Kanye West & Kid Cudi,Rock N Roll
1780,Pusha T Featuring Kanye West,Dreamin Of The Past
1784,"Kay Flock, Cardi B, Dougie B & Bory300",Shake It
1790,Kane Brown,Leave You Alone
1791,The Weeknd,Out Of Time
1796,Queen Naija & Big Sean,Hate Our Love
1799,Pusha T,Brambleton
1814,Kendrick Lamar,The Heart Part 5
1822,Jack Harlow Featuring Drake,Churchill Downs
1843,Bad Bunny,Aguacero
1844,Bad Bunny,Dos Mil 16
1848,Bad Bunny & The Marias,Otro Atardecer
1849,Taylor Swift,This Love (Taylor's Version)
1853,Bad Bunny,El Apagon
1854,Bad Bunny,Un Verano Sin Ti
1855,Bad Bunny,Un Coco
1858,Bad Bunny,Me Fui de Vacaciones
1859,Bad Bunny,Ensename A Bailar
1863,Future,712PM
1873,Bad Bunny,Agosto
1878,Future,I'm Dat N***a
1886,Future,Massaging Me
1887,Jack Harlow,I'd Do Anything To Make You Smile
1895,Lil Baby,Frozen
1896,Jack Harlow,Young Harleezy
1898,Jack Harlow Featuring Lil Wayne,Poison
1899,Justin Bieber & Don Toliver,Honest
1972,Kendrick Lamar Featuring Sampha,Father Time
1977,Kendrick Lamar,Count Me Out
1978,Kendrick Lamar,United In Grief
1991,"Kendrick Lamar, Baby Keem, & Sam Dew",Savior
1996,Kendrick Lamar & Taylour Paige,We Cry Together
2036,Dr. Dre Featuring Snoop Dogg,The Next Episode
2039,Eminem,Lose Yourself
2094,Jung Kook,Stay Alive
2174,Megan Moroney,Tennessee Orange
2182,"Quavo, Takeoff & YoungBoy Never Broke Again",To The Bone
2193,YG,Toxic
2195,Carly Pearce,What He Didn't Do
2198,"Rauw Alejandro, Lyanno & Brray",Lokera
2199,Kodak Black,Walk
2202,SZA,Kill Bill
2209,SZA,Nobody Gets Me
2211,SZA,Blind
2212,"Metro Boomin, The Weeknd & 21 Savage",Creepin'
2216,SZA,Low
2218,Ariana Grande,Santa Tell Me
2220,SZA,Love Language
2223,SZA,Seek & Destroy
2224,Darlene Love,Christmas (Baby Please Come Home)
2226,Bing Crosby,White Christmas
2228,SZA,Snooze
2229,SZA Featuring Don Toliver,Used
2230,Nat King Cole,Deck The Halls
2231,SZA,SOS
2233,"Metro Boomin, Future & Chris Brown",Superhero (Heroes & Villains)
2234,Michael Buble,It's Beginning To Look A Lot Like Christmas
2235,Frank Sinatra,Jingle Bells
2236,SZA,Special
2238,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane)
2239,SZA Featuring Phoebe Bridgers,Ghost In The Machine
2240,Elvis Presley,Blue Christmas
2242,SZA,Gone Girl
2243,SZA,Notice Me
2245,Chuck Berry,Run Rudolph Run
2246,Gene Autry,Rudolph The Red-Nosed Reindeer
2247,Jackson 5,Santa Claus Is Comin' To Town
2251,SZA,Smoking On My Ex Pack
2253,SZA Featuring Travis Scott,Open Arms
2254,SZA,F2F
2257,SZA,Conceited
2260,SZA,Far
2261,SZA,Too Late
2267,Metro Boomin Featuring Don Toliver & Future,Too Many Nights
2270,"Metro Boomin, Travis Scott & 21 Savage",Niagara Falls (Foot Or 2)
2272,Lizzo,Someday At Christmas
2273,"Metro Boomin, 21 Savage & Young Nudy",Umbrella
2275,SZA Featuring Ol' Dirty Bastard,Forgiveless
2276,Metro Boomin & Travis Scott,Raindrops (Insane)
2278,RAYE Featuring 070 Shake,Escapism
2280,Morgan Wallen,One Thing At A Time
2283,Kane Brown,Blue Christmas
2284,Metro Boomin & John Legend,On Time
2289,"Metro Boomin, Travis Scott & Young Thug",Trance
2290,Metro Boomin & Young Thug,Metro Spider
2291,Kelly Clarkson & Ariana Grande,"Santa, Can't You Hear Me"
2293,Lauren Spencer-Smith,Last Christmas
2296,A Boogie Wit da Hoodie Featuring Kodak Black,Water (Drowning Pt. 2)
2297,Metro Boomin Featuring Don Toliver,Around Me
2298,Morgan Wallen,Tennessee Fan
2349,Metallica,Master Of Puppets
2395,j-hope,Arson
2406,Drake,Falling Back
2412,Drake,Texts Go Green
2419,Drake,Calling My Name
2420,Drake,A Keeper
2422,Drake,Currents
2427,Drake,Flight's Booked
2441,Drake,Overdrive
2446,Drake,Liability
2451,"Lil Baby, 42 Dugg & Veeze",U-Digg
2461,Drake,Down Hill
2465,Drake,Tie That Binds
2581,j-hope,More
2598,Yeat,Rich Minion
2641,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch"
2730,DJ Khaled Featuring Future & Lil Baby,Big Time
2748,DJ Khaled Featuring Kanye West & Eminem,Use This Gospel (Remix)
2754,DJ Khaled Featuring Juice WRLD,Juice WRLD Did
2756,"DJ Khaled Featuring Lil Durk, 21 Savage & Roddy Ricch",Keep Going
2765,DJ Khaled Featuring Quavo & Takeoff,Party
2776,DJ Khaled Featuring Nardo Wick & Kodak Black,It Ain't Safe
2777,DJ Khaled Featuring Drake,No Secret
2785,DJ Khaled Featuring Don Toliver & Travis Scott,Let's Pray
2844,Lil Baby,Waterfall Flow
2851,Lil Baby,Everything
2852,Marshmello & Juice WRLD,Bye Bye
2853,Lil Baby,Double Down
2856,Lil Baby & Rylo Rodriguez,Cost To Be Alive
2857,Lil Baby Featuring Pooh Shiesty,Shiest Talk
2860,Blink-182,Edging
2863,Lil Baby,Top Priority
2867,Lil Baby & EST Gee,Back And Forth
2868,Lil Baby,Danger
2869,Lil Baby,Russian Roulette
2875,Lil Baby,FR
2879,Lil Baby,No Fly Zone
2880,Lil Baby Featuring Jeremih,Stop Playin
3272,YG Featuring J. Cole & Moneybagg Yo,Scared Money
3277,Red Hot Chili Peppers,Black Summer
3286,$NOT & A$AP Rocky,Doja
3299,Swedish House Mafia & The Weeknd,Moth To A Flame
3314,Future Featuring Kanye West,Keep It Burnin
3323,Future Featuring Gunna & Young Thug,For A Nut
3325,Future Featuring EST Gee,Chickens
3328,Future,Gold Stacks
3338,Future Featuring Kodak Black,Voodoo
3344,Future,We Jus Wanna Get High
3345,Future,Holy Ghost
3357,Future,Back To The Basics
3359,Future,The Way Things Going
3379,PSY Featuring SUGA,That That
3381,Benson Boone,In The Stars
3418,Kendrick Lamar,Worldwide Steppers
3421,"Kendrick Lamar, Summer Walker & Ghostface Killah",Purple Hearts
3432,Kendrick Lamar,Rich (Interlude)
3439,Kendrick Lamar & Tanna Leone,Mr. Morale
3440,Kendrick Lamar,Crown
3446,Kendrick Lamar,Auntie Diaries
3450,Kendrick Lamar,Savior (Interlude)
3454,Kendrick Lamar,Mirror
3458,Kendrick Lamar Featuring Beth Gibbons,Mother I Sober
3576,Yeat Featuring Lil Uzi Vert,Flawless
3594,YoungBoy Never Broke Again,Purge Me
3599,Zach Bryan,"Burn, Burn, Burn"
3651,Brent Faiyaz,Loose Change
3666,Brent Faiyaz,Price Of Fame
3673,"Brent Faiyaz & DJ Dahi Featuring Tyler, The Creator",Gravity
3683,Brent Faiyaz,Rolling Stone
3690,Brent Faiyaz Featuring Alicia Keys,Ghetto Gatsby
3692,Brent Faiyaz,Heal Your Heart (Interlude)
3696,Brent Faiyaz Featuring Joony,FYTB
3697,Brent Faiyaz Featuring Drake,Wasting Time
3759,Taylor Swift,Carolina
3766,Lil Nas X & Youngboy Never Broke Again,Late To Da Party (F*CK BET)
3771,Eminem & Snoop Dogg,From The D 2 The LBC
3775,Chris Brown Featuring WizKid,Call Me Everyday
3777,Chris Brown Featuring Jack Harlow,Psychic
3778,Chris Brown,WE (Warm Embrace)
3790,Lil Durk Featuring EST Gee,Burglars & Murderers
3791,Chris Brown Featuring Lil Baby,Addicted
3794,Lil Durk Featuring Doodie Lo,Did Shit To Me
3797,Chris Brown Featuring Lil Wayne & BLEU,Possessive
3951,Metro Boomin & 21 Savage Featuring Mustafa,Walk Em Down (Don't Kill Civilians)
3954,Metro Boomin & Future Featuring Don Toliver,I Can't Save You (Interlude)
3956,Morgan Wallen,Days That End In Why
3958,Metro Boomin & A$AP Rocky Featuring Takeoff,Feel The Fiyaaaah
3965,Metro Boomin & Gunna,All The Money (Bonus)
3967,Arcangel & Bad Bunny,La Jumpa
3971,"Metro Boomin, Travis Scott & Future",Lock On Me
3982,RM With Youjeen,Wild Flower
4029,The Beach Boys,Little Saint Nick
4031,Paul McCartney,Wonderful Christmastime
4037,John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Happy Xmas (War Is Over)
4039,Andy Williams,Happy Holiday / The Holiday Season
4041,Ed Sheeran & Elton John,Merry Christmas
4043,Eagles,Please Come Home For Christmas
4044,Eartha Kitt With Henri Rene And His Orchestra,Santa Baby
4046,Donny Hathaway,This Christmas
4048,Vince Guaraldi Trio,Linus And Lucy (Peanuts Theme)
4091,Juice WRLD,Face 2 Face
4092,Pentatonix Featuring Meghan Trainor,Kid On Christmas
4145,Nirvana,Something In The Way
4152,Lil Durk,Shootout @ My Crib
4154,Lil Durk,Started From
4157,Lil Durk,Headtaps
4164,Lil Durk,Grow Up/Keep It On Speaker
4168,Lil Durk,Blocklist
4172,Lil Durk Featuring Summer Walker,Difference Is
4184,Lil Durk,Federal Nightmares
4194,Lil Durk,Pissed Me Off
4325,Michael Jackson,Thriller
