,artist,title
787,Noah Cyrus & Leon Bridges,July
788,Megan Thee Stallion,Captain Hook
789,YoungBoy Never Broke Again Featuring Sherhonda Gaulden,Bout My Business
790,Lil Uzi Vert,That Way
791,YoungBoy Never Broke Again,Rough Ryder
793,Alicia Keys,Underdog
795,DaBaby Featuring Ashanti & Megan Thee Stallion,NASTY
796,Carrie Underwood,Drinking Alone
797,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",PTSD
798,YoungBoy Never Broke Again Featuring DaBaby,Thug Of Spades
799,"Bad Bunny, Jowell & Randy & Nengo Flow",Safaera
802,6ix9ine,Gooba
832,Marshmello & Halsey,Be Kind
845,Drake Featuring Giveon,Chicago Freestyle
849,Kehlani Featuring Tory Lanez,Can I
850,Drake Featuring Playboi Carti,Pain 1993
864,Lil Tjay Featuring Fivio Foreign & Pop Smoke,Zoo York
867,Kehlani,Toxic
876,"Future, Drake & Young Thug",D4L
879,Kehlani Featuring Jhene Aiko,Change Your Life
883,Young T & Bugsey Featuring Headie One,Don't Rush
884,Drake Featuring Future,Desires
887,Moneybagg Yo,Me Vs Me
889,Luke Combs,Six Feet Apart
890,Lil Durk,Viral Moment
891,Arcangel x Sech,Sigues Con El
893,Drake,Time Flies
894,Lil Baby & 42 Dugg,Grace
898,Drake Featuring Fivio Foreign & Sosa Geek,Demons
964,Andrew Jannakos,Gone Too Soon
971,YoungBoy Never Broke Again,Dead Trollz
975,YoungBoy Never Broke Again,Cross Roads
980,YoungBoy Never Broke Again,The Last Backyard...
987,YoungBoy Never Broke Again,Right Foot Creep
997,YoungBoy Never Broke Again,Dirty Stick
1006,Juice WRLD,Conversations
1008,Juice WRLD X Halsey,Life's A Mess
1009,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,Hate The Other Side
1011,Juice WRLD,Blood On My Jeans
1013,Juice WRLD,Titanic
1015,Juice WRLD,Bad Energy
1021,Kid Cudi & Eminem,The Adventures Of Moon Man & Slim Shady
1033,Juice WRLD,Stay High
1034,Juice WRLD,Fighting Demons
1037,Juice WRLD & Trippie Redd,Tell Me U Luv Me
1041,Juice WRLD,Up Up And Away
1045,Juice WRLD,Screw Juice
1046,Juice WRLD,I Want It
1049,Juice WRLD,Can't Die
1050,Juice WRLD,Man Of The Year
1059,LOCASH,One Big Country Song
1071,"Black Eyed Peas, Ozuna + J.Rey Soul",Mamacita
1074,Pop Smoke,Something Special
1082,Pop Smoke,Gangstas
1083,Summer Walker,Let It Go
1085,Summer Walker & PARTYNEXTDOOR,My Affection
1088,Pop Smoke Featuring Quavo,Aim For The Moon
1089,Trevor Daniel x Selena Gomez,Past Life
1098,Pop Smoke,44 Bulldog
1132,BLACKPINK,How You Like That
1148,Kanye West Featuring Travis Scott,Wash Us In The Blood
1153,6ix9ine & Nicki Minaj,Trollz
1169,Polo G Featuring Juice WRLD,Flex
1170,Beyonce,Black Parade
1174,6LACK Featuring Lil Baby,Know My Rights
1178,Katy Perry,Daisies
1179,Kid LAROI & Juice WRLD,Go!
1186,Polo G,21
1191,Eric Church,Stick That In Your Country Song
1196,BRELAND,My Truck
1197,Jonas Brothers Featuring Karol G,X
1199,NLE Choppa,Shotta Flow 5
1200,BTS,Life Goes On
1203,Ariana Grande,Positions
1207,Shawn Mendes & Justin Bieber,Monster
1210,Billie Eilish,Therefore I Am
1211,Megan Thee Stallion,Body
1212,BTS,Blue & Grey
1213,Mariah Carey,All I Want For Christmas Is You
1214,Bad Bunny & Jhay Cortez,Dakiti
1220,Brenda Lee,Rockin' Around The Christmas Tree
1221,BTS,Stay
1224,Morgan Wallen,Somebody's Problem
1229,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,34+35
1230,Bobby Helms,Jingle Bell Rock
1236,Andy Williams,It's The Most Wonderful Time Of The Year
1241,Wham!,Last Christmas
1244,Jose Feliciano,Feliz Navidad
1245,Morgan Wallen,Still Goin Down
1247,Nat King Cole,The Christmas Song (Merry Christmas To You)
1248,Dean Martin,"Let It Snow, Let It Snow, Let It Snow"
1252,Luke Combs,Forever After All
1253,Miley Cyrus Featuring Dua Lipa,Prisoner
1254,Lil Nas X,Holiday
1263,Ariana Grande,pov
1265,CJ,Whoopty
1268,BTS,Fly To My Room
1269,BTS,Telepathy
1270,Megan Thee Stallion Featuring DaBaby,Cry Baby
1271,BTS,Dis-ease
1272,King Von,Took Her To The O
1276,Jack Harlow,Tyler Herro
1280,Harry Styles,Golden
1281,Megan Thee Stallion,Shots Fired
1282,Morgan Wallen,Livin' The Dream
1284,Saweetie Featuring Jhene Aiko,Back To The Streets
1285,Meek Mill Featuring Lil Durk,Pain Away
1289,Future & Lil Uzi Vert,Drankin N Smokin
1291,Megan Thee Stallion Featuring City Girls & Hot Girl Meg,Do It On The Tip
1293,Megan Thee Stallion,Circles
1296,Karol G,Bichota
1298,Morgan Wallen,Cover Me Up
1299,The Kid LAROI,So Done
1313,Burl Ives,A Holly Jolly Christmas
1319,The Ronettes,Sleigh Ride
1324,Kelly Clarkson,Underneath The Tree
1328,Andy Williams,Happy Holiday / The Holiday Season
1329,Lil Baby,On Me
1330,Darlene Love,Christmas (Baby Please Come Home)
1331,Bing Crosby,White Christmas
1332,Michael Buble,It's Beginning To Look A Lot Like Christmas
1333,Gene Autry,Rudolph The Red-Nosed Reindeer
1334,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas
1335,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane)
1336,Perry Como With Mitchell Ayers And His Orchestra,(There's No Place Like) Home For The Holidays (1959)
1338,Ariana Grande,Santa Tell Me
1339,Chuck Berry,Run Rudolph Run
1340,Lil Baby,Errbody
1344,Paul McCartney,Wonderful Christmastime
1358,Kelly Clarkson & Brett Eldredge,Under The Mistletoe
1362,The Kid LAROI,Without You
1370,Justin Bieber,Rockin' Around The Christmas Tree
1371,Juice WRLD x benny blanco,Real Shit
1373,Bad Bunny & Rosalia,La Noche de Anoche
1374,Trey Lewis,Dicked Down In Dallas
1375,Mariah Carey Featuring Ariana Grande & Jennifer Hudson,Oh Santa!
1379,Carrie Underwood,Favorite Time Of Year
1387,Dan + Shay,Take Me Home For Christmas
1395,Carrie Underwood & John Legend,Hallelujah
1396,DaBaby,Practice
1398,Bad Bunny,Te Mudaste
1399,Carrie Underwood,Silent Night
1431,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch"
1432,Elvis Presley,Blue Christmas
1435,Bing Crosby & The Andrews Sisters,Mele Kalikimaka (Merry Christmas)
1437,Taylor Swift,Willow
1438,Donny Hathaway,This Christmas
1442,Nat King Cole,Deck The Halls
1444,Eagles,Please Come Home For Christmas
1445,Jackson 5,Santa Claus Is Comin' To Town
1446,The Beach Boys,Little Saint Nick
1448,Michael Buble,Have Yourself A Merry Little Christmas
1449,Bing Crosby,I'll Be Home For Christmas
1458,Ed Sheeran,Afterglow
1459,Eminem,Gnat
1476,Taylor Swift,Champagne Problems
1477,Gabby Barrett,The First Noel
1483,Popp Hunna,Adderall (Corvette Corvette)
1485,Kid Cudi,Tequila Shots
1488,Jack Harlow Featuring Big Sean,Way Out
1490,Taylor Swift,'Tis The Damn Season
1491,H.E.R.,Damage
1492,Lil Durk,Backdoor
1496,Taylor Swift Featuring HAIM,"No Body, No Crime"
1497,DDG,Moonwalking In Calabasas
1518,Lil Uzi Vert Featuring Chief Keef,Bean (Kobe)
1525,Lil Uzi Vert & 21 Savage,Yessirskiii
1526,Lil Uzi Vert,Baby Pluto
1536,Lil Uzi Vert,P2
1541,Lil Uzi Vert,Lo Mein
1544,Lil Uzi Vert,Lotus
1551,Lil Uzi Vert,Silly Watch
1553,Lil Uzi Vert Featuring Future,Wassup
1554,"Lil Yachty, Drake & DaBaby",Oprah's Bank Account
1559,Lil Uzi Vert Featuring Young Thug & Gunna,Strawberry Peels
1561,Lil Uzi Vert,Moon Relate
1565,Lil Uzi Vert,I Can Show You
1567,Lil Uzi Vert,Trap This Way (This Way)
1569,Bad Bunny,Si Veo A Tu Mama
1571,Lil Uzi Vert Featuring NAV,Leaders
1572,Lil Baby & Gunna,Heatin Up
1575,Lil Uzi Vert Featuring Lil Durk,No Auto
1576,SZA X Justin Timberlake,The Other Side
1579,Bad Bunny,La Dificil
1581,Lil Uzi Vert,Homecoming
1582,Lil Uzi Vert,Come This Way
1586,Lil Uzi Vert Featuring Young Thug,Got The Guap
1588,Lil Uzi Vert Featuring Young Nudy,Money Spread
1589,Don Toliver,Cardigan
1594,Lil Uzi Vert,Prices
1645,Future & Lil Uzi Vert,Stripes Like Burberry
1649,Future & Lil Uzi Vert,That's It
1653,Future & Lil Uzi Vert,Real Baby Pluto
1656,Phoebe & Maggie,Iris
1663,Future & Lil Uzi Vert,Marni On Me
1666,Future & Lil Uzi Vert,Million Dollar Play
1667,Future & Lil Uzi Vert,Sleeping On The Floor
1684,Thomas Rhett,What's Your Country Song
1685,Future & Lil Uzi Vert,Plastic
1692,Darius Rucker,Beers And Sunshine
1693,Jason Derulo,Take You Dancing
1694,Farruko,La Toxica
1696,Future,Rockstar Chainz
1699,Future & Lil Uzi Vert,Bought A Bad Bitch
1731,Ariana Grande Featuring Doja Cat,Motive
1734,Ariana Grande Featuring The Weeknd,Off The Table
1742,Ariana Grande,Just Like Magic
1746,Ariana Grande,Shut Up
1747,Michael Jackson,Thriller
1748,Ariana Grande,Nasty
1751,Ariana Grande Featuring Ty Dolla $ign,Safety Net
1762,Ariana Grande,Six Thirty
1764,Ariana Grande,My Hair
1769,Ariana Grande,Obvious
1770,Ariana Grande,West Side
1774,Ariana Grande,Love Language
1779,Trippie Redd,Weeeeee
1791,"Lil Durk, 6LACK & Young Thug",Stay Down
1797,DJ Chose Featuring BeatKing,Thick
1881,Taylor Swift Featuring Bon Iver,Exile
1894,Mulatto,B*tch From da Souf
1997,Pop Smoke Featuring Karol G,Enjoy Yourself
1999,J. Cole,the.climb.back
2018,A$AP Ferg Featuring  Nicki Minaj & MadeinTYO,Move Ya Hips
2065,Taylor Swift,The Last Great American Dynasty
2068,Taylor Swift,My Tears Ricochet
2072,Taylor Swift,August
2084,Taylor Swift,Invisible String
2090,Taylor Swift,Betty
2091,DaBaby x Stunna 4 Vegas,No Dribble
2092,Taylor Swift,Mirrorball
2096,J. Cole,Lion King On Ice
2097,Taylor Swift,Seven
2163,Rod Wave,Fuck The World
2166,Rod Wave,Pray 4 Love
2173,Rod Wave,Thief In The Night
2175,Future,Tycoon
2176,Rod Wave,I Remember
2177,Rod Wave,The Greatest
2183,Rod Wave,Ribbon In The Sky
2187,Taylor Swift,The Man
2188,Kane Brown & John Legend,Last Time I Say Sorry
2194,Rod Wave,Thug Life
2198,Rod Wave,No Weakness
2220,The Weeknd,Alone Again
2223,The Weeknd,Scared To Live
2224,The Weeknd,Hardest To Love
2227,The Weeknd,Too Late
2231,The Weeknd,Snowchild
2238,The Weeknd,Escape From LA
2240,The Weeknd & Ariana Grande,Save Your Tears
2244,The Weeknd,Faith
2268,The Weeknd,Repeat After Me (Interlude)
2279,The Weeknd,Until I Bleed Out
2294,Kelsea Ballerini x Halsey,The Other Girl
2322,Lil Baby Featuring Lil Uzi Vert,Commercial
2327,Lil Baby Featuring Future,Live Off My Closet
2352,Bad Bunny X Daddy Yankee,La Santa
2353,Lil Baby,Get Ugly
2357,Lil Baby & Moneybagg Yo,No Sucker
2358,Lil Baby,How
2362,Bad Bunny,Pero Ya No
2363,Lil Baby Featuring Lil Wayne,Forever
2367,BTS,ON
2372,YoungBoy Never Broke Again,Lil Top
2377,Lil Baby,Same Thing
2381,Ashe Featuring Niall Horan,Moral Of The Story
2388,Bad Bunny & Yaviah,Bichiyal
2390,Lil Baby & Young Thug,We Should
2393,Bad Bunny,Solia
2396,Bad Bunny X Anuel AA,Esta Cabron Ser Yo
2398,Lil Baby,Can't Explain
2434,Playboi Carti,@ MEH
2443,DaBaby Featuring Quavo,PICK UP
2452,DaBaby Featuring Future & jetsonmade,LIGHTSKIN SH*T
2462,DaBaby,CAN'T STOP
2463,DaBaby,BLAME IT ON BABY
2468,DaBaby,SAD SHIT
2470,DaBaby Featuring A Boogie Wit da Hoodie & London On Da Track,DROP
2473,DaBaby,TALK ABOUT IT
2484,DaBaby,CHAMPION
2485,Kelly Clarkson,I Dare You
2489,Tory Lanez,Broke In A Minute
2553,J. Cole,Snow On Tha Bluff
2556,A Boogie Wit da Hoodie,Bleed
2587,Tyla Yaweh & Post Malone,Tommy Lee
2593,YoungBoy Never Broke Again Featuring Lil Baby,One Shot
2594,J.I The Prince Of N.Y,Need Me
2663,Meek Mill,Otherside Of America
2679,Sleepy Hallow,Deep End Freestyle
2681,Lady Gaga & BLACKPINK,Sour Candy
2688,Gunna Featuring Roddy Ricch,Cooler Than A Bitch
2694,Brantley Gilbert,Hard Days
2698,Future Featuring YoungBoy Never Broke Again,Trillionaire
2699,Kane Brown,Worldwide Beautiful
2754,Gunna Featuring Travis Scott,Top Floor
2756,Gunna,Wunna
2758,Gunna Featuring Lil Baby,Blindfold
2764,Gunna,SkyBox
2766,Gunna,Argentina
2769,Gunna,Met Gala
2775,Agust D,Daechwita
2777,Gunna,Nasty Girl / On Camera
2782,Future Featuring Travis Scott,Solitaires
2783,Gunna,MOTW
2785,Gunna,Gimmick
2792,Polo G Featuring Lil Baby,Be Something
2797,Gunna,Feigning
2814,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road
2832,Lil Tecca,Ran$om
2833,Taylor Swift,Lover
2838,Wale Featuring Jeremih,On Chill
2839,Khalid,Talk
2841,Ed Sheeran Featuring Khalid,Beautiful People
2842,DaBaby,Suge
2846,Lil Baby & DaBaby,Baby
2847,JACKBOYS & Sheck Wes,GANG GANG
2848,Lady Antebellum,What If I Never Get Over You
2851,Don Toliver Featuring Quavo & Offset,HAD ENOUGH
2852,Chris Brown Featuring Gunna,Heat
2853,Summer Walker,Playing Games
2855,JACKBOYS Featuring Don Toliver,WHAT TO DO?
