start,stop,weight
wan,life,93
wan,call,84
wan,'bout,94
wan,girl,89
wan,'ve,57
wan,ooh,72
wan,would,57
wan,man,64
wan,run,64
wan,find,59
wan,friend,56
wan,well,51
wan,ayy,56
wan,talkin,50
wan,away,40
wan,hand,38
wan,damn,42
wan,ah,38
wan,whole,41
wan,hey,38
wan,work,41
wan,alone,32
wan,hurt,31
wan,ready,25
wan,somebody,30
wan,woo,26
wan,fine,22
wan,truth,25
wan,guess,18
feel,think,99
feel,good,102
feel,life,105
feel,call,87
feel,'bout,91
feel,girl,66
feel,'ve,70
feel,ooh,67
feel,would,66
feel,man,63
feel,run,66
feel,find,71
feel,friend,60
feel,well,37
feel,ayy,45
feel,talkin,47
feel,away,46
feel,hand,39
feel,damn,38
feel,ah,35
feel,whole,30
feel,hey,27
feel,work,32
feel,alone,42
feel,hurt,35
feel,ready,29
feel,somebody,26
feel,woo,25
feel,fine,18
feel,truth,24
feel,guess,21
think,good,94
think,life,85
think,call,87
think,'bout,93
think,girl,79
think,'ve,75
think,ooh,55
think,would,82
think,man,71
think,run,61
think,find,61
think,friend,51
think,well,52
think,ayy,39
think,talkin,54
think,away,40
think,hand,44
think,damn,46
think,ah,32
think,whole,42
think,hey,27
think,work,36
think,alone,34
think,hurt,34
think,ready,28
think,somebody,30
think,woo,17
think,fine,18
think,truth,23
think,guess,25
good,life,77
good,call,65
good,'bout,81
good,girl,67
good,'ve,54
good,ooh,67
good,would,61
good,man,73
good,run,62
good,find,57
good,friend,54
good,well,49
good,ayy,38
good,talkin,42
good,away,34
good,hand,38
good,damn,43
good,ah,32
good,whole,37
good,hey,27
good,work,30
good,alone,27
good,hurt,30
good,ready,27
good,somebody,23
good,woo,26
good,fine,14
good,truth,20
good,guess,15
life,call,75
life,'bout,73
life,girl,53
life,'ve,72
life,ooh,50
life,would,63
life,man,56
life,run,64
life,find,48
life,friend,42
life,well,44
life,ayy,34
life,talkin,38
life,away,44
life,hand,38
life,damn,34
life,ah,31
life,whole,37
life,hey,26
life,work,30
life,alone,27
life,hurt,25
life,ready,25
life,somebody,29
life,woo,21
life,fine,19
life,truth,22
life,guess,22
call,'bout,75
call,girl,61
call,'ve,55
call,ooh,50
call,would,49
call,man,71
call,run,68
call,find,45
call,friend,49
call,well,36
call,ayy,37
call,talkin,47
call,away,37
call,hand,38
call,damn,32
call,ah,24
call,whole,34
