artist;title
Cheap Trick;Tonight It's You
Eurythmics;There Must Be An Angel
Kim Carnes;Abadabadango
Julian Lennon;Jesse
Ready For The World;Oh Sheila
Bon Jovi;In And Out Of Love
Belouis Some;Some People
The Beach Boys;It's Getting Late
John Waite;Every Step Of The Way
John Cafferty & The Beaver Brown Band;C-I-T-Y
Hooters;And We Danced
Air Supply;Power Of Love (You Are My Lady)
Urgent;Running Back
The J. Geils Band;Fright Night
Madonna;Dress You Up
Whitney Houston;Saving All My Love For You
Foreigner;Down On Love
Survivor;First Night
Steve Arrington;Dancin' In The Key Of Life
What Is This;I'll Be Around
Amy Grant;Wise Up
Tom Petty And The Heartbreakers;Rebels
John Mellencamp;Lonely Ol' Night
Sting;Fortress Around Your Heart
Loverboy;Lovin' Every Minute Of It
Night Ranger;Four In The Morning (I Can't Take Anymore)
ABC;Be Near Me
'Til Tuesday;Looking Over My Shoulder
9.9;All Of Me For All Of You
Eric Martin;Information
David Foster;Love Theme From St. Elmo's Fire (Instrumental)
David Bowie & Mick Jagger;Dancing In The Street
Stevie Wonder;Part-Time Lover
Daryl Hall John Oates;The Way You Do The Things You Do/My Girl
Bruce Springsteen;I'm Goin' Down
Don Henley;Sunset Grill
Paul Young;I'm Gonna Tear Your Playhouse Down
Jan Hammer;Miami Vice Theme
The Power Station;Communication
El DeBarge With DeBarge;You Wear It Well
Starship;We Built This City
The Romantics;Test Of Time
Orchestral Manoeuvres In The Dark;So In Love
Oingo Boingo;Weird Science
Maurice White;Stand By Me
Freddie Jackson;You Are My Lady
Scritti Politti;Perfect Way
Natalie Cole;A Little Bit of Heaven
Depeche Mode;Master & Servant/(Set Me Free) Remotivate Me
Talking Heads;And She Was
Kate Bush;Running Up That Hill (A Deal With God)
Tears For Fears;Head Over Heels
Bryan Adams;One Night Love Affair
Glenn Frey;You Belong To The City
Corey Hart;Boy In The Box
Heart;Never
Five Star;All Fall Down
Klymaxx;I Miss You
Roger Daltrey;After The Fire
Thompson Twins;Lay Your Hands On Me
Cheech & Chong;Born In East L.A.
Jennifer Holliday;Hard Times For Lovers
Mr. Mister;Broken Wings
Diana Ross;Eaten Alive
Commodores;Janet
Eddie & The Tide;One In A Million
Dead Or Alive;Lover Come Back To Me
Gino Vannelli;Hurts To Be In Love
Aretha Franklin;Who's Zoomin' Who
The Family;Screams Of Passion
Starpoint;Object Of My Desire
Howard Jones;Like To Get To Know You Well
Rene & Angela;I'll Be Good
Morris Day;The Oak Tree
Jane Wiedlin;Blue Kiss
Go West;Eye To Eye
Phil Collins and Marilyn Martin;Separate Lives
Tina Turner;One Of The Living
Olivia Newton-John;Soul Kiss
Billy Joel;The Night Is Still Young
Ray Parker Jr.;Girls Are More Fun
Eddie Murphy;Party All The Time
Marillion;Kayleigh
Tommy Shaw;Remo's Theme (What If)
Wang Chung;To Live And Die In L.A.
Katrina And The Waves;Que Te Quiero
Ta Mara & The Seen;Everybody Dance
Kenny Loggins;I'll Be There
Ratt;You're In Love
ZZ Top;Sleeping Bag
Simple Minds;Alive & Kicking
Eurythmics & Aretha Franklin;Sisters Are Doin' It For Themselves
Prince And The Revolution;America
Baltimora;"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")"
Laura Branigan;Hold Me
KISS;Tears Are Falling
John Waite;Welcome To Paradise
Quarterflash;Talk To Me
Miami Sound Machine;Conga
Arcadia;Election Day
Elton John;Wrap Her Up
Sheena Easton;Do It For Love
Kool & The Gang;Emergency
Christopher Cross;Charm The Snake
Clarence Clemons & Jackson Browne;You're A Friend Of Mine
Jack Wagner;Too Young
The Motels;Shock
Motley Crue;Home Sweet Home
John Mellencamp;Small Town
The Cars;Tonight She Comes
Dire Straits;Walk Of Life
Survivor;Burning Heart
Artists United Against Apartheid;Sun City
The Pointer Sisters;Freedom
New Edition;Count Me Out
Lionel Richie;Say You, Say Me
Sting;Love Is The Seventh Wave
Dionne & Friends Featuring Elton John, Gladys Knight And Stevie Wonder;That's What Friends Are For
James Taylor;Everyday
Night Ranger;Goodbye
John Cafferty & The Beaver Brown Band;Small Town Girl
Pete Townshend;Face The Face
Rush;The Big Money
Stevie Nicks;Talk To Me
Jellybean Featuring Catherine Buchanan;Sidewalk Talk
Sheila E.;A Love Bizarre
Loverboy;Dangerous
INXS;This Time
John Parr;Love Grammar
Robert Palmer;Discipline Of Love
Lisa Lisa And Cult Jam With Full Force;Can You Feel The Beat
Bryan Adams/Tina Turner;It's Only Love
Paul McCartney;Spies Like Us
Stevie Wonder;Go Home
Pat Benatar;Sex As A Weapon
Paul Young;Everything Must Change
Kenny Rogers;Morning Desire
Sade;The Sweetest Taboo
Mike + The Mechanics;Silent Running (On Dangerous Ground)
Wham!;I'm Your Man
Billy Ocean;When The Going Gets Tough, The Tough Get Going
Corey Hart;Everything In My Heart
Bruce Springsteen;My Hometown
Whitney Houston;How Will I Know
a-ha;The Sun Always Shines on T.V.
The Dream Academy;Life In A Northern Town
Twisted Sister;Leader Of The Pack
Asia;Go
Queen;One Vision
Nick Lowe And His Cowboy Outfit;I Knew The Bride (When She Use To Rock And Roll)
James Brown;Living In America
Ready For The World;Digital Display
El DeBarge With DeBarge;The Heart Is Not So Smart
Jon Butcher Axis;Sounds Of Your Voice
Diana Ross;Chain Reaction
Isley, Jasper, Isley;Caravan Of Love
Eugene Wilde;Don't Say No Tonight
Hooters;Day By Day
Barbra Streisand;Somewhere
Orchestral Manoeuvres In The Dark;Secret
Charlie Sexton;Beat's So Lonely
Freddie Jackson;He'll Never Love You (Like I Do)
Mr. Mister;Kyrie
Fortune;Stacy
Alisha;Baby Talk
Chaka Khan;Own The Night
Starship;Sara
Atlantic Starr;Secret Lovers
Sly Fox;Let's Go All The Way
Joni Mitchell;Good Friends
Roger Daltrey;Let Me Down Easy
The Alarm;Strength
