title;artist;lyrics;filename
Are You Man Enough;Four Tops;light face ta keep turn heart outside street go try win care let someone rough people away school pay alive back smile good folk get think bend know pretend 'cause lyric lie cool ca always likeembed gon stop step due need brother confused lose trace passer-by next ai eye betcha yet getcha see might around man matter right also ya na strong struggle choose talk survive like 'em 's bad cry 're never enough evil jungle friend shoot door thing miss walk knife fly watch look stay steal big every n't teach take;Are You Man Enough by Four Tops.txt
Armed And Extremely Dangerous;First Choice;average mouth sweet f.b.i call play leave love go street say dan succeed throw warn yeah life care let hit give dangerous 've bait oh would get think guy f.b.i. dangerousembed start 'cause lyric hooked make need first see might around car man right girl also lookout charm extremely ya fee sight caress ooh-ooh catch talk arm day like way 's mess oh-oh nobody hisself happen walk walkin want look guard mm-mm n't another mm;Armed And Extremely Dangerous by First Choice.txt
As Time Goes By;Nilsson;full woman sigh passion woo apply date heart love go story say case time fundamental moonlight old lover jealousy deny one die always likeembed kiss need `` mate lyricsyou might two matter man also rely remember glory brings must hate 's still '' never byyou song thing world fight future welcome;As Time Goes By by Nilsson.txt
Ashes To Ashes;The 5th Dimension;tall dying grow alley leave street 'll win come memory roadblock amos dust sameembed forgive dixie faster put sidewalk kill west meet lyricsthey concrete tin playground drive gun single find livin' sally mark long brandy likeashes fall see might trial nickel also part orville andy cup pave day like way 's end 're never milky candy friend thing tear fly pan ash rainbow every pour;Ashes To Ashes by The 5th Dimension.txt
Aubrey;Bread;light name heart play love go aubrey wish 'll say come fast apart life god june time away tune listen would absent blame mine know bloom one mean million lyric ca without make find best ordinary sing everyone might around rest girl also melody catch rhyme maybe trip close dayembed like way learn lovely 's past never dance thousand word moon miss thing meaning world together want lead stay reason 'd n't take sound;Aubrey by Bread.txt
Avenging Annie;Andy Pratt;woman murder blind name theft womanhood call keep side oklahoma alone play leave run love go outlaw hippy 'll say come peace yeah pick life summer ever give 've young head alive forgive whole bed california mother put back good game lover think know year meet lyric lie felt release find yeahembed fame sensitive avenger long best hill spoil live annie first see become might floyd around two ground right forest change almost also great haze sad treat spell boy add tell city na crazy strong spend thirty-five avenge imagine others 'm like five slap far 's mess bad cry still never poor could even friend wan wife thing top unto happy want look lead stand join well blow n't take mountain;Avenging Annie by Andy Pratt.txt
Baby Come Close;Smokey Robinson;regret light put music trust oh true mine forget real might turn heart play still closeyou soft love dream start also baby touch fire please sit likeembed come yeah hand stay let stand wo warm kind time n't close ooh lyricsturn low;Baby Come Close by Smokey Robinson.txt
Baby Ive Been Missing You;The Independents;youembed unbearable alone turn heart love go wrap share 'll child come ever drag give 've ah old whole back yeah-yeah-yeah-yeah oh good toy one mean seem lyric heh anymore everything without uh stranger nothing town long believe huh ive since might darling right almost also wrong touch joy youve place home last day window like night new 's brand feel baby miss sit world much big tv;Baby Ive Been Missing You by The Independents.txt
Back For A Taste Of Your Love;Syl Johnson;'m like key back fall get know bit might lock lyricshere pretty love two 'cause also baby taste guitar babyyou likeembed come sure little make time 've take;Back For A Taste Of Your Love by Syl Johnson.txt
Back When My Hair Was Short;Gunhill Road;hubcap full hold undermines slowly play sport shoe love go us red d.a 'll come white ever bar alive month bed back good eat except honest-to-god appeal faith eastern know three freak meet one dream 'cause lyric hippie philosophyembed respond rally hid find make star wear `` report 'neath soon busy eye hair see might around car 'til truth court change also peg tell speak playboy week party chain long-haired talk college survive pointed day like way concert slick night lack 's sock pinball wring short drank '' hope dance could even pant friend beer many smoke meaning stand n't expert take jive steal;Back When My Hair Was Short by Gunhill Road.txt
Bad Bad Leroy Brown;Jim Croce;name nose call side gambler meaner baddest shoe front go fun wave everybody begin edge leroy nice bar six jealous trouble ooh cast couple old whole shootin junkyard south good dog lover get men eldorado 'bout pull custom doris puzzle lesson four jigsaw gun fancy foot kong `` town soon king eye lady fightin' brown damn see might man two girl also clothes pocket razor part week upon likewell treetop dogembed lyricswell ring sir like floor chicago learn 's bad '' ago diamond bout wife friday dice downtown sit messin' look badder stand beware continental well take piece;Bad Bad Leroy Brown by Jim Croce.txt
Bad Weather;The Supremes;trust darker fix whenever gray leave chance love run fun oohhhhhhhh 'll yeah life let give time ah ooh oh stuff would rain suppose get think know one 'cause lyric whoa-oa-oa-oa-oa-whoa sky ca please gon stop weather doubt make yeahembed ai oohhhhh eye believe best mend see might also no-o problem na mistake wo last day 'm like use a-yeah way open 's work bad suffer still 're baby thing hey together look oohhhhhhh every n't sugar piece sunshine;Bad Weather by The Supremes.txt
Basketball Jones Featuring Tyrone Shoelaces;Cheech;oo-oo-ooo left-handed shot nothin' de sweet nose chick gentleman baddest leave love go us bill red try hook cheerleader 'll victim ball come yeah pick everybody everywhere life center ever hit dribblin' someone ... lyricsbasketball fade whole eyebrow watchin quarter put back oh stuff good backboard blazer get free-throw one ca sings/speaks always machine hot stop dribbler give-and-go uh dribble shoelace little basketball kong need mama pillow coach help jones king russell beside fac booty lady sing since embed set might likeoh toe man right court change also schenkel proud sleep yes neighborhood tyrone coast-to-coast cause maybe fifteen day like along jump 'm line night open dunk repeatedly 's underneath bad end honky one-on-one behind 're cent even feel could baby top tongue chris world ex-lax hearn want stadium gim buy stand popcorn n't move take c'mon pass sound;Basketball Jones Featuring Tyrone Shoelaces by Cheech.txt
Be;Neil Diamond;runnin hold partner run chance go try cold say 'll ride let whats time put morning get defeat one discover ca gon direction zero beat little scar make find need help lyricsfirst may see embed might man also lonely likewhat nowhere na connection hero tellin really close circle 'm way night new 's past thinkin 're dance harder hey reservation ask climb aboard movin want lead 'd another n't move take;Be by Neil Diamond.txt
Be What You Are;The Staple Singers;lyricsoh hold something high cadillac go fun try caviar say child yeah life easy time people school lid put oh within likeit eat know one mean ca today hear beef make ai risking king live see might thought private man right money also tell really 'm like pork remember attend 's lord work bos poor enough friend many afford much want ashamed buy hurt able reason n't lifeembed send take;Be What You Are by The Staple Singers.txt
Been To Canaan;Carole King;hold sweet somewhere leave run go try else field canaan 've promised content back oh demand dream 'cause lyric ca likeembed mind need day-to-day long hill live roll room might land 'til rest also place na though green wo yestertime stormy remember 'm againyou 's behind wintertime enough wan want sometimes burning warm n't fireplace;Been To Canaan by Carole King.txt
Behind Closed Doors;Charlie Rich;light turn love go 'll say let people away doorsyou smile oh get hangin know one 'cause always likeembed make closed lyricsmy `` hang tired lady hair leavin might man also proud scene crowd talk like 'm glad far 's lord behind still '' never baby door want n't;Behind Closed Doors by Charlie Rich.txt
Bell Bottom Blues;Eric Clapton;heart go loser say give away fade gladly back would good crawl lover one die meet bell feeling lyric please hear sure make find stayembed lose across long see might right also wrong beg treat place strong wo surprise bottom choose arm day 'm floor like way 's cry 're could baby blue want stay fight 'd n't another take goodbye;Bell Bottom Blues by Eric Clapton.txt
Big City Miss Ruth Ann;Gallery;light keep leave go say come yeah annyou exactly fit people away ruth fine back would get 'cause likeembed kid harm kiss lyricsyou since see might man girl show also lonely clothes tell city home really anybody bet remember cry 're miss hey pa ann want country good-bye big n't;Big City Miss Ruth Ann by Gallery.txt
